Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties
Dominican Republic,30.61111111,19.44444444,24.72222222,1363.98,560.5063352041053,10847.91,10738.958,1.0101,48671.0,220.6439,60.14,39.86,54.97,75.08,28.0,67.0,26.0,41.0
East Timor,32.22222222,22.22222222,24.05555556,1244.6,,,,,,,,,,,,,,
Fiji,30.22222222,20.72222222,24.94444444,2593.34,685.8980187101895,896.445,889.953,1.0073,18272.0,48.7058,57.94,42.06,,,,60.0,24.0,36.0
Egypt,34.55555556,8.611111111,21.77777778,50.8,355.4941179843815,102334.404,100388.073,1.0194,1002450.0,100.1427,46.79,53.21,46.21,84.35,33.0,18.0,6.0,12.0
El Salvador,31.66666667,18.61111111,23.16666667,1643.38,665.132992368702,6486.205,6453.553,1.0051,21041.0,306.7132,68.82,31.18,,,36.0,63.0,30.0,33.0
Equatorial Guinea,30.77777778,19.72222222,24.44444444,2461.26,,1402.985,1355.986,1.0347,28051.0,48.34,,,,,16.0,5.0,0.0,5.0
Eritrea,33.61111111,17.77777778,23.38888889,347.98,,3546.421,3497.117,1.0141,117600.0,29.7374,,,,,21.0,2.0,1.0,1.0
Estonia,21.11111111,-7.777777778,5.5,650.24,720.8293885394868,1326.535,1325.648,1.0007,45227.0,29.311,23.38,76.62,72.83,19.01,75.0,94.0,38.0,56.0
Eswatini,26.38888889,9.888888889,19.66666667,922.02,,,,,,,,,,,33.0,19.0,1.0,18.0
Ethiopia,28.0,12.11111111,19.33333333,1092.2,698.5621892864017,114963.588,112078.73,1.0257,1104300.0,101.493,50.03,49.97,,77.74,38.0,22.0,9.0,13.0
Europa Island,30.0,19.44444444,25.0,510.54,,,,,,,,,,,,,,
Falkland Islands,14.44444444,0.555555556,5.555555556,640.08,,3.48,3.377,1.0305,12173.0,0.2774,,,,,,,,
Faroe Islands,12.22222222,1.666666667,6.666666667,1470.66,,48.863,48.678,1.0038,1393.0,34.9447,,,,,,,,
Federated States Of Micronesia,31.0,22.55555556,27.22222222,3716.02,,,,,,,,,,,,,,
United States,29.94444444,0.944444444,11.55555556,876.3,1845.932323710688,331002.651,329064.917,1.0059,9372610.0,35.1092,47.74,52.26,69.03,38.89,67.0,83.0,32.0,51.0
Finland,20.33333333,-11.66666667,2.555555556,556.26,1160.9852214766834,5540.72,5532.156,1.0015,338424.0,16.3468,27.01,72.99,76.4,11.86,85.0,10.0,40.0,60.0
France,24.77777778,1.333333333,11.27777778,779.78,1236.1429230232002,65273.511,65129.728,1.0022,551695.0,118.0539,49.2,50.8,80.99,41.79,69.0,90.0,38.0,52.0
French Guiana,31.55555556,21.83333333,25.77777778,3014.98,,298.682,290.832,1.027,83534.0,3.4816,,,,,,,,
French Polynesia,29.77777778,21.11111111,24.55555556,1798.32,1702.6182839903056,280.908,279.287,1.0058,4167.0,67.0235,,,,,,,,
French Southern And Antarctic Lands,13.5,4.277777778,8.444444444,1125.22,,,,,,,,,,,,,,
